Article Date,Article Title,Organization,City,State,URL,Keywords,Summary
2/13/17 9:01,Pizza Hut driver who killed co-worker with shotgun found mentally competent,LGBTQ Nation,Phoenix,AZ,http://www.lgbtqnation.com/2017/02/man-accused-killing-co-worker-hate-crime-stands-trial/,,
2/13/17 9:37,Residents of NJ township receiving KKK promotional fliers,New York Daily News,,,http://www.nydailynews.com/news/national/residents-nj-township-receiving-kkk-promotional-fliers-article-1.2971317,,
2/13/17 15:37,House OKs bill to expand Kentucky's hate crimes law,FOX19,Cincinnati,OH,http://www.fox19.com/story/34494432/house-oks-bill-to-expand-kentuckys-hate-crimes-law,,
2/13/17 16:56,"Amid Protests, 'Blue Lives Matter' Bill Passes Kentucky House",89.3 WFPL,Louisville,KY,http://wfpl.org/amid-protests-blue-lives-matter-bill-passes-state-house/,,
2/13/17 18:37,Lafourche inmates charged with hate crimes in jail attack,Daily Comet,Thibodaux,LA,http://www.dailycomet.com/news/20170213/lafourche-inmates-charged-with-hate-crimes-in-jail-attack,,
2/14/17 11:55,Police: Davis hate crime suspect had 'aspirations' to kill,Davis Enterprise,Davis,CA,http://www.davisenterprise.com/local-news/crime-fire-courts/arrest-made-in-davis-mosque-vandalism/,,
2/14/17 13:45,"Fowler's 'Blue Lives Matter' bill is great tribute to our protectors, but...",Harrisburg Daily Register,Harrisburg,IL,http://www.dailyregister.com/news/20170214/fowlers-blue-lives-matter-bill-is-great-tribute-to-our-protectors-but,,
2/14/17 16:11,Arrest made after bacon strips left at California mosque,GoDanRiver.com,Danville,VA,http://www.godanriver.com/news/national/wire/arrest-made-after-bacon-strips-left-at-california-mosque/article_328bd862-8ba1-5277-91ad-8a9332604cd8.html,,
2/14/17 16:11,Arrest made after bacon strips left at California mosque - KSBY.com | San Luis Obispo and Santa Barbara Area News,KSBY San Luis Obispo News,San Luis Obispo,CA,http://www.ksby.com/story/34505277/arrest-made-after-bacon-strips-left-at-california-mosque,,
2/14/17 18:15,Report: San Diego violent crime rates lowest in decades,San Diego Gay & Lesbian News,San Diego,CA,http://sdgln.com/commentary/2017/02/14/report-san-diego-violent-crime-rates-lowest-decades,,
2/14/17 21:04,Blue Lives Matter Bills Would Make Targeting First Responders a Hate Crime,MyStateline.com,Rockford,IL,http://www.mystateline.com/news/blue-lives-matter-bills-would-make-targeting-first-responders-a-hate-crime/656154788,,
2/15/17 4:00,Reports Of 'Hate Crime' Are Exaggerated By Those Who Oppose Brexit,Heat Street,,,http://heatst.com/life/reports-of-hate-crime-are-exaggerated-by-those-who-oppose-brexit/,,
2/15/17 7:00,New bias crime dashboard shows increase in reports of Seattle hate violence,CHS Capitol Hill Seattle,Seattle,WA,http://www.capitolhillseattle.com/2017/02/new-bias-crime-dashboard/,,
2/15/17 10:26,Tulsa man charged in neighbor's killing to plead insanity,SFGate,San Francisco,CA,http://www.sfgate.com/news/crime/article/Tulsa-man-charged-in-neighbor-s-killing-to-plead-10934830.php,,
2/15/17 11:07,SPLC says number of anti-Muslim hate groups on the rise,Joplin Globe,Joplin,MO,http://www.joplinglobe.com/region/splc-says-number-of-anti-muslim-hate-groups-on-the/article_0e4cc7dc-cf41-5091-b5ac-b9c7a6f38e71.html,,
2/15/17 11:07,Watchdog: Number of anti-Muslim hate groups on the rise,Fairfield Citizen,Fairfield,Connecticut,http://www.fairfieldcitizenonline.com/news/crime/article/Watchdog-Number-of-anti-Muslim-hate-groups-on-10936714.php,,
2/15/17 13:00,Police investigate anti-Muslim flier at Louisiana mosque,Greensboro News & Record,Greensboro,NC,http://www.greensboro.com/ap/us_world/police-investigate-anti-muslim-flier-at-louisiana-mosque/article_ba2926cc-ab13-5b08-b5d0-4b321f85a011.html,,
2/15/17 13:10,Details Paint a Grim Picture in the Hate Crime Case,The Peopleду»s Vanguard of Davis,,,http://www.davisvanguard.org/2017/02/details-paint-grim-picture-hate-crime-case/,,
2/15/17 13:41,Woman Facing Hate Crime Charges In Attack On Davis Mosque,CBS Local,New York,New York,http://sanfrancisco.cbslocal.com/2017/02/15/davis-mosque-hate-crime-arrest-lauren-kirk-coehlo/,,
2/15/17 23:31,Authorities: Davis Mosque Vandalism Suspect 'Immediate Danger' to Public,FOX40,Sacramento,CA,http://fox40.com/2017/02/15/authorities-davis-mosque-vandalism-suspect-immediate-danger-to-public/,,
2/16/17 13:03,FBI Investigating Hate Crime at UMW,Fredericksburg Today,,,https://fredericksburg.today/fbi-investigating-hate-crime-at-umw,,
2/17/17 7:18,Teach NYS Calls for Increased Security Funding in Wake of Rising Hate Crimes,Yeshiva World News,New York,NY,http://www.theyeshivaworld.com/news/headlines-breaking-stories/527235/teach-nys-calls-for-increased-security-funding-in-wake-of-rising-hate-crimes.html,,
2/17/17 13:22,Senate amendment would add LGBT to state hate crime law,City Pulse,Lansing,MI,http://lansingcitypulse.com/article-permalink-14403.html,,
2/17/17 14:41,Hate Crime Suspect Arrested After Vandalizing a Mosque With Bacon,The Daily Meal,New York,NY,http://www.thedailymeal.com/news/eat/hate-crime-suspect-arrested-after-vandalizing-mosque-bacon/021717,,
2/17/17 15:55,First-Ever Tracker Of Hate Crimes Against Asian-Americans Launched,WCAI,Woods Hole,MA,http://capeandislands.org/post/first-ever-tracker-hate-crimes-against-asian-americans-launched,,
2/18/17 6:01,Why Does the Number of US Hate Groups Keep Growing?,Care2.com,Redwood City,CA,http://www.care2.com/causes/why-does-the-number-of-us-hate-groups-keep-growing.html,,
2/19/17 11:07,Canadian Anti-Muslim Protesters Could Face Hate Crime Charges,Daily Caller,Washington,DC,http://dailycaller.com/2017/02/19/canadian-anti-muslim-protesters-could-face-hate-crime-charges/,,
2/20/17 9:16,Documents show physical evidence behind hate crime hoax arrest,Beloit College Round Table,,,http://beloitcollegeroundtable.com/2017/02/20/documents-show-physical-evidence-behind-hate-crime-hoax-arrest/,,
2/20/17 17:07,Vandals damage dozens of headstones at historic Jewish cemetery,myfox8.com,Greensboro,NC,http://myfox8.com/2017/02/21/vandals-damage-dozens-of-headstones-at-historic-jewish-cemetery/,,
2/21/17 12:37,"Vandals damage 100 headstones at Jewish cemetery, police say",Dallasweekly,,,http://www.dallasweekly.com/news/national/article_327b4080-f88d-11e6-901e-af169f6e263b.html,,
2/21/17 13:22,Muslims Are Standing Up For The Jewish Community After Bomb Threats,Huffington Post,New York,NY,http://www.huffingtonpost.com/entry/muslims-jewish-bomb-threats_us_58ac8cc7e4b0e784faa21c40,,
2/21/17 14:18,"Evidence of rising anti-Semitism, but data mostly elusive",The Olympian,Olympia,Washington,http://www.theolympian.com/news/politics-government/national-politics/article134101964.html,,
2/21/17 15:26,9 Investigates why hate crimes aren't being reported to feds,WFTV Orlando,Orlando,FL,http://www.wftv.com/news/9-investigates/9-investigates-why-hate-crimes-arent-being-reported-to-feds/496034469,,
2/21/17 15:50,Police still searching for leads in cemetery vandalism investigation,kplr11.com,St. Louis,MO,http://kplr11.com/2017/02/21/police-still-searching-for-leads-in-cemetery-vandalism-investigation/,,
2/21/17 16:33,Couple Refuses To Remove Racial Slur Graffiti From Home,Opposing Views,Los Angeles,CA,http://www.opposingviews.com/i/society/couple-was-distraught-when-they-discovered-racial-slur-their-garage-door-they-are-refusing,,
2/21/17 17:28,The media ignores anti-Semitism unless it's a tool to target President Trump,Conservative Review,,,https://www.conservativereview.com/commentary/2017/02/the-media-ignores-anti-semitism-unless-it-is-a-tool-to-target-president-trump,,
2/22/17 5:08,2 men sentenced for hate crime attack against Somalis,The Herald,Rock Hill,SC,http://www.heraldonline.com/news/politics-government/national-politics/article134200949.html,,
2/22/17 7:45,Two men face sentencing for Kansas hate crime attack,KWCH,Wichita,KS,http://www.kwch.com/content/news/Two-men-face-sentencing-for-Kansas-hate-crime-attack-414508163.html,,
2/22/17 8:05,2 men face sentencing for Kansas hate crime attack,Washington Post,Washington,DC,https://www.washingtonpost.com/national/2-men-face-sentencing-for-kansas-hate-crime-attack/2017/02/22/95bbcef0-f917-11e6-aa1e-5f735ee31334_story.html,,
2/22/17 8:41,"Bills addressing profiling, hate crimes pushed by Democrats",Lexington Herald Leader,Lexington,KY,http://www.kentucky.com/news/politics-government/national-politics/article134237024.html,,
2/22/17 9:01,"Bills addressing profiling, hate crimes pushed by NC Democrats",13newsnow.com,Norfolk,Virginia,http://www.13newsnow.com/news/local/bills-addressing-profiling-hate-crimes-pushed-by-nc-democrats/412247076,,
2/22/17 14:49,"Man spits on baby, tells baby's mother 'white people shouldn't breed'",KMTV,,,http://www.kmtv.com/news/national/uk-man-spits-on-baby-tells-babys-mother-white-people-shouldnt-breed,,
2/23/17 1:00,What's Behind the Rash of Anti-Semitic Incidents?,National Review,New York,NY,http://www.nationalreview.com/article/445170/anti-semitic-incidents-united-states-hate-crimes-religion-donald-trump-alt-right-gaza-war,,
2/23/17 1:33,"Stand with Muslim, Jewish groups facing hate crimes",The Daily Herald,Everett,WA,http://www.heraldnet.com/opinion/stand-with-muslim-jewish-groups-facing-hate-crimes/,,
2/23/17 4:22,"Black man awarded $750,000 for Daimler Trucks incidents",Argus Press,Owosso,MI,http://www.argus-press.com/news/state_news/article_e6e90df3-dc8c-572f-934e-3925b7dff9a5.html,,
2/23/17 5:07,Inmate set to plead guilty for hate crime,Butler Eagle,Butler,PA,http://www.butlereagle.com/article/20170223/NEWS02/702239917/-1/news,,
2/23/17 5:19,"Man admits hate crime in rail station attack, gets 3 years",Merced Sun-Star,Merced,CA,http://www.mercedsunstar.com/entertainment/article134443759.html,,
2/23/17 5:28,Some witnesses say Kansas shooting was racially motivated,SFGate,San Francisco,CA,http://www.sfgate.com/news/crime/article/Man-arrested-in-Missouri-after-1-killed-2-10953508.php,,
2/23/17 5:41,Helios and Matheson Analytics and Zone Technologies Launch First Real Time Hate Crime Mapping on RedZone Map,Broadway World,New York,NY,http://www.broadwayworld.com/bwwgeeks/article/Helios-and-Matheson-Analytics-and-Zone-Technologies-Launch-First-Real-Time-Hate-Crime-Mapping-on-RedZone-Map-20170223,,
2/23/17 7:22,First-degree murder charge filed in possible hate crime shooting at Olathe's Austins bar,Kansas City Star,Kansas City,MO,http://www.kansascity.com/news/local/crime/article134459444.html,,
2/23/17 8:14,Man Pleads Guilty To Hate Crime Charge In Beating Of Black Man At T Station,CBS Local,New York,New York,http://pittsburgh.cbslocal.com/2017/02/23/ryan-kyle-hate-crime-charge/,,
2/23/17 8:57,Interfaith Coalition Urges: If You See Something Do Something - At Fort Harrison Luncheon,Yahoo Finance,New York,NY,http://finance.yahoo.com/news/interfaith-coalition-urges-see-something-165404546.html,,
2/23/17 10:28,Baldwin man to serve no additional prison time for hate crime beating after Chesney concert,Tribune-Review,Pittsburgh,PA,http://triblive.com/local/allegheny/11980315-74/kyle-beating-lockett,,
2/23/17 11:45,Some witnesses say Kansas shooting was racially motivated - Northern Michigan's News Leader,9&10 News,Cadillac,MI,http://www.9and10news.com/story/34586176/some-witnesses-say-kansas-shooting-was-racially-motivated,,
2/23/17 12:38,Witnesses: Bar gunman shouted 'get out of my country' before shooting 2 Indians at Kansas bar,Allentown Morning Call,Allentown,PA,http://www.mcall.com/news/nationworld/ct-kansas-bar-shooting-20170223-story.html,,
2/23/17 14:30,Administration Urged to Press El Salvador on Protection of Transgender Citizens,Human Rights First,New York,NY,http://www.humanrightsfirst.org/press-release/administration-urged-press-el-salvador-protection-transgender-citizens,,
2/23/17 14:52,Increase in anti-Semitic incidents troubling,Allentown Morning Call,Allentown,PA,http://www.mcall.com/opinion/letters/mc-wall-gillikin-hate-crimes-jews-increase-20170223-story.html,,
2/23/17 15:26,"Cuomo: NY will fight hate crimes, help with school security",WNYT,Albany,NY,http://wnyt.com/politics/cuomo-ny-will-fight-hate-crimes-help-with-school-security/4408709/,,
2/23/17 17:07,College production details reactions to campus hate crime,Carroll County Times,Westminster,MD,http://www.carrollcountytimes.com/news/education/ph-cc-farm-theater-project-20170223-story.html,,
2/23/17 17:07,Police: 'No evidence' Somali native's beating was hate crime,LancasterOnline,Lancaster,PA,http://lancasteronline.com/news/pennsylvania/police-no-evidence-somali-native-s-beating-was-hate-crime/article_80ed1455-8614-5067-961c-7cfb2d41f71f.html,,
2/23/17 19:07,"A Deadly Shooting in A Kansas Bar May Have Been Racially Motivated, Witnesses Say",Yahoo News,Altadena,California,https://www.yahoo.com/news/deadly-shooting-kansas-bar-may-030328500.html,,
2/23/17 19:45,"Police, federal investigators look at hate crime motive in Olath - KMOV.com",KMOV.com,St. Louis,MO,http://www.kmov.com/story/34591081/police-federal-investigators-look-at-hate-crime-motive-in-olathe-restaurant-shooting,,
2/23/17 22:00,Kansas police investigate if deadly bar shooting a hate crime,Las Vegas Review-Journal,Las Vegas,NV,http://www.reviewjournal.com/news/nation-and-world/kansas-police-investigate-if-deadly-bar-shooting-hate-crime,,
2/23/17 23:37,Kansas man charged with killing Indian in possible hate crime,StreetInsider.com,Birmingham,MI,http://www.streetinsider.com/Reuters/Kansas+man+charged+with+killing+Indian+in+possible+hate+crime/12588500.html,,
2/24/17 0:48,"He yelled 'Get out of my country,' witnesses say, and then shot 2 men from India, killing one",The Journal,,,http://www.the-journal.com/article/20170224/AP/302249908/He-yelled-'Get-out-of-my-country'-witnesses-say-and-then-shot-2-men-from-India-killing-one,,
2/24/17 0:51,Kansas shooting: FBI investigating after Indian man killed,WCTI12.com,New Bern,NC,http://www.wcti12.com/news/national/fbi-investigating-kansas-bar-shooting/356584861,,
2/24/17 0:58,Kansas shooting: Widow of Indian man calls for action on hate crimes,MyStateline.com,Rockford,IL,http://www.mystateline.com/news/fbi-investigating-kansas-bar-shooting/662312324,,
2/24/17 1:04,Srinivas Kuchibhotla: US murder possible hate crime,Al Jazeera America,New York,NY,http://www.aljazeera.com/news/2017/02/kansas-city-shooting-investigated-hate-crime-170224063319878.html,,
2/24/17 1:45,FBI Investigates Fatal Shooting as Hate Crime,Abccolumbia.com,Columbia,South Carolina,http://www.abccolumbia.com/2017/02/24/fbi-investigates-fatal-shooting-hate-crime/,,
2/24/17 1:45,Witnesses say deadly Kansas shooting was racially motivated,NewsWest9.com,Midland,TX,http://www.newswest9.com/story/34592400/witnesses-say-deadly-kansas-shooting-was-racially-motivated,,
2/24/17 1:45,Witnesses: Man used slurs before shooting 2 Indians at bar,The Edinburg Review,,,http://www.edinburgreview.com/news/20170224/witnesses-man-used-slurs-before-shooting-2-indians-at-bar,,
2/24/17 1:49,Hate Crime Is Feared as 2 Indian Engineers Are Shot in Kansas,International New York Times,New York,NY,https://www.nytimes.com/2017/02/24/world/asia/kansas-attack-possible-hate-crime-srinivas-kuchibhotla.html,,
2/24/17 1:55,Witnesses: Bar gunman shouted 'get out of my country' - Northern Michigan's News Leader,9&10 News,Cadillac,MI,http://www.9and10news.com/story/34592399/witnesses-bar-gunman-shouted-get-out-of-my-country,,
2/24/17 1:59,Indian man killed in possibly racial shooting at Kansas bar,KCBD-TV,Lubbock,TX,http://www.kcbd.com/story/34592400/indian-man-killed-in-possibly-racial-shooting-at-kansas-bar,,
2/24/17 2:05,Indian man killed in possibly racial shooting at Kansas bar - KOAA.com | Continuous News | Colorado Springs and Pueblo,KOAA.com Colorado Springs and Pueblo News,Colorado Springs,Colorado,http://www.koaa.com/story/34592399/indian-man-killed-in-possibly-racial-shooting-at-kansas-bar,,
